product,common_quantity
050012101           ,21.0
050012102           ,21.0
050012122           ,18.0
050012126           ,10.0
050012129           ,5.0
050012139           ,1.0
050012141           ,1.0
050012147           ,30.0
050012150           ,28.0
050012152           ,28.0
050012153           ,4.0
050012154           ,1.0
050012155           ,28.0
050012158           ,1.0
050012204           ,11.0
050012211           ,50.0
050012343           ,60.0
050012347           ,13.0
050012350           ,30.0
050012389           ,49.0
050012396           ,19.0
050012412           ,30.0
050012418           ,16.0
050012458           ,9.0
050012470           ,28.0
050012476           ,19.0
050012478           ,60.0
050012480           ,28.0
050012486           ,10.0
050012557           ,1.0
050012560           ,13.0
050012561           ,4.0
050012563           ,49.0
050012564           ,2.0
050012569           ,40.0
050012570           ,3.0
050012571           ,6.0
050012578           ,4.0
050012581           ,8.0
050012583           ,48.0
050012584           ,49.0
050012609           ,30.0
050012610           ,30.0
050012617           ,1.0
050012619           ,30.0
050012622           ,30.0
050012673           ,1.0
050012674           ,30.0
050012675           ,30.0
050012676           ,2.0
050012677           ,2.0
050012678           ,1.0
050012679           ,5.0
050012680           ,10.0
050012684           ,29.0
050012685           ,50.0
050012686           ,60.0
050012689           ,40.0
050012734           ,14.0
050012748           ,1.0
050012749           ,12.0
050012750           ,1.0
050012751           ,2.0
050012752           ,3.0
050012753           ,6.0
050012754           ,12.0
050012755           ,1.0
050012756           ,1.0
050012757           ,4.0
050012758           ,1.0
050012759           ,18.0
050012760           ,1.0
050012761           ,23.0
050012762           ,5.0
050012763           ,28.0
050012764           ,1.0
050012765           ,4.0
050012766           ,3.0
050012767           ,1.0
050012783           ,1.0
050012784           ,2.0
050012785           ,2.0
050012786           ,1.0
050012823           ,45.0
050012824           ,1.0
050012825           ,1.0
050012826           ,1.0
050012827           ,1.0
050012828           ,1.0
050012829           ,2.0
050012830           ,3.0
050012831           ,12.0
050012832           ,7.0
050012833           ,3.0
050012834           ,3.0
050012835           ,1.0
050012836           ,35.0
050012837           ,3.0
050012838           ,6.0
050012839           ,9.0
050012840           ,6.0
050012841           ,28.0
050012842           ,21.0
050012843           ,1.0
050012844           ,25.0
050012847           ,6.0
050012849           ,30.0
050012850           ,19.0
050012851           ,2.0
050012852           ,40.0
050012872           ,45.0
050012873           ,3.0
050012875           ,5.0
050012876           ,21.0
050012878           ,9.0
050012879           ,100.0
050012880           ,30.0
050012881           ,45.0
050012883           ,21.0
050012884           ,3.0
050012885           ,2.0
050012886           ,3.0
050012887           ,5.0
050012888           ,1.0
050012889           ,2.0
050012890           ,2.0
050012891           ,6.0
050012892           ,3.0
050012893           ,1.0
050012894           ,1.0
050012895           ,2.0
050012896           ,3.0
050012902           ,48.0
050012903           ,48.0
050012904           ,45.0
050031475           ,13.0
050031476           ,12.0
050031477           ,1.0
050031479           ,1.0
050031480           ,28.0
050031481           ,8.0
050031482           ,14.0
050031484           ,12.0
050031485           ,8.0
050031486           ,7.0
050031565           ,2.0
050031566           ,7.0
050031567           ,2.0
050031568           ,6.0
050031577           ,1.0
050031578           ,2.0
050031579           ,7.0
050031580           ,28.0
050031581           ,28.0
050031582           ,4.0
050031583           ,1.0
050031584           ,4.0
050031585           ,4.0
050031587           ,3.0
050031588           ,2.0
050031592           ,6.0
050031593           ,7.0
050031594           ,1.0
050031595           ,1.0
050031596           ,3.0
050031597           ,8.0
050031598           ,1.0
050031603           ,1.0
050031604           ,2.0
050032625           ,3.0
050032626           ,14.0
050032627           ,1.0
050032628           ,1.0
050032629           ,1.0
050032630           ,3.0
050032631           ,2.0
050032632           ,3.0
050032633           ,1.0
050032634           ,1.0
050032635           ,1.0
050032636           ,30.0
050032637           ,25.0
050032638           ,14.0
050032639           ,10.0
050032640           ,28.0
050032641           ,7.0
050032642           ,20.0
050032643           ,6.0
050032644           ,21.0
050032645           ,21.0
050032646           ,15.0
050032647           ,21.0
050032648           ,21.0
050032649           ,1.0
050032650           ,21.0
050032651           ,21.0
050032652           ,21.0
050032653           ,21.0
050032654           ,1.0
050032655           ,7.0
050032656           ,3.0
050032657           ,1.0
050032658           ,1.0
050032659           ,3.0
050032660           ,14.0
050032661           ,5.0
050032662           ,28.0
050032663           ,3.0
050032664           ,10.0
050032665           ,19.0
050032666           ,21.0
050032667           ,21.0
050032668           ,21.0
050032669           ,21.0
050032670           ,30.0
050032671           ,1.0
050032672           ,3.0
050032690           ,5.0
050032691           ,2.0
050032692           ,3.0
050032693           ,4.0
050032694           ,3.0
050032695           ,2.0
050032696           ,3.0
050032697           ,7.0
050032698           ,21.0
050032699           ,16.0
050032700           ,7.0
050032701           ,1.0
050032702           ,2.0
050032703           ,1.0
050032704           ,4.0
050032705           ,1.0
050032706           ,1.0
050032707           ,15.0
050032708           ,6.0
050032709           ,9.0
050032710           ,4.0
050032711           ,7.0
050032712           ,9.0
050032713           ,7.0
050032714           ,7.0
050032715           ,1.0
050032716           ,9.0
050032717           ,1.0
050032718           ,2.0
050032719           ,2.0
050032720           ,3.0
050032721           ,1.0
050032722           ,2.0
050032723           ,21.0
050032724           ,22.0
050032725           ,22.0
050032726           ,21.0
050032727           ,6.0
050032728           ,8.0
050032729           ,7.0
050032730           ,4.0
050032731           ,5.0
050032732           ,3.0
050032733           ,1.0
050032736           ,1.0
050032737           ,1.0
050032738           ,4.0
050032739           ,1.0
050032740           ,1.0
050032741           ,5.0
050032742           ,2.0
050032743           ,4.0
050032744           ,2.0
050032768           ,28.0
050032769           ,10.0
050032770           ,24.0
050032771           ,1.0
050032774           ,4.0
050032775           ,24.0
050032776           ,24.0
050032777           ,2.0
050032778           ,4.0
050032780           ,4.0
050032781           ,2.0
050032787           ,2.0
050032788           ,3.0
050032789           ,4.0
050032790           ,4.0
050032791           ,1.0
050032792           ,1.0
050032793           ,1.0
050032794           ,1.0
050032795           ,1.0
050032796           ,1.0
050032797           ,1.0
050032798           ,2.0
050032799           ,14.0
050032800           ,7.0
050032801           ,3.0
050032802           ,2.0
050032803           ,6.0
050032804           ,9.0
050032805           ,8.0
050032806           ,1.0
050032807           ,1.0
050032808           ,1.0
050032809           ,1.0
050032810           ,2.0
050032811           ,1.0
050032812           ,9.0
050032813           ,8.0
050032814           ,1.0
050032815           ,4.0
050032816           ,2.0
050032817           ,1.0
050032818           ,1.0
050040004           ,1.0
050040016           ,1.0
050270003           ,1.0
050270006           ,1.0
050270016           ,6.0
050270019           ,1.0
050270031           ,20.0
050270033           ,7.0
050270063           ,21.0
050270065           ,1.0
050270076           ,21.0
050270077           ,1.0
050270079           ,28.0
050270082           ,28.0
050270084           ,25.0
050270138           ,5.0
050270175           ,5.0
050271429           ,1.0
050271442           ,1.0
050271459           ,1.0
050271462           ,1.0
050271463           ,3.0
050271465           ,2.0
050271775           ,1.0
050271822           ,1.0
050271823           ,1.0
050500125           ,15.0
050500150           ,30.0
050500364           ,25.0
050500365           ,30.0
050501373           ,1.0
050501417           ,21.0
050802681           ,35.0
050802682           ,35.0
050802683           ,35.0
050802746           ,35.0
050872822           ,55.0
050890697           ,18.0
050890705           ,1.0
